Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Li Y.; Qi H.; Zhu F.; Lv Y.; Ye P.,"Li, Yijia (59236789900); Qi, Hao (58028229500); Zhu, Fenghua (55112010800); Lv, Yisheng (35072960000); Ye, Peijun (50562551300)",59236789900; 58028229500; 55112010800; 35072960000; 50562551300,Interpretable Autonomous Driving Model Based on Cognitive Reinforcement Learning,2024,"IEEE Intelligent Vehicles Symposium, Proceedings",,,,515,520,5,0,10.1109/IV55156.2024.10588661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199754376&doi=10.1109%2fIV55156.2024.10588661&partnerID=40&md5=34cd9325d522d8eda6ffa35604d82080,Conference paper,Final,,Scopus,2-s2.0-85199754376
Kirtay S.; Yildiz K.; Bocekci V.G.,"Kirtay, Seda (58733446800); Yildiz, Kazim (19037010500); Bocekci, Veysel Gökhan (55900651300)",58733446800; 19037010500; 55900651300,Artificial Intelligence-based Fair Allocation in NOMA Technique: A Review,2024,"International Journal of Sensors, Wireless Communications and Control",14,3,,,,,0,10.2174/0122103279288496240121074942,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201587447&doi=10.2174%2f0122103279288496240121074942&partnerID=40&md5=7e7c1cf5a5d9320d279056336a98a2a1,Review,Final,,Scopus,2-s2.0-85201587447
Chen Z.; Silvestri F.; Tolomei G.; Wang J.; Zhu H.; Ahn H.,"Chen, Ziheng (57218924153); Silvestri, Fabrizio (8964950200); Tolomei, Gabriele (12784026600); Wang, Jia (57196223495); Zhu, He (56031394100); Ahn, Hongshik (7202926248)",57218924153; 8964950200; 12784026600; 57196223495; 56031394100; 7202926248,Explain the Explainer: Interpreting Model-Agnostic Counterfactual Explanations of a Deep Reinforcement Learning Agent,2024,IEEE Transactions on Artificial Intelligence,5,4,,1443,1457,14,8,10.1109/TAI.2022.3223892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144015335&doi=10.1109%2fTAI.2022.3223892&partnerID=40&md5=02dbdc075d7493dc7f106e73642af630,Article,Final,,Scopus,2-s2.0-85144015335
Lin B.Y.; Ravichander A.; Lu X.; Dziri N.; Sclar M.; Chandu K.; Bhagavatula C.; Choi Y.,"Lin, Bill Yuchen (57205548667); Ravichander, Abhilasha (57188762645); Lu, Ximing (57222033823); Dziri, Nouha (57216440679); Sclar, Melanie (57221149404); Chandu, Khyathi (57195643170); Bhagavatula, Chandra (57216430904); Choi, Yejin (36172231400)",57205548667; 57188762645; 57222033823; 57216440679; 57221149404; 57195643170; 57216430904; 36172231400,THE UNLOCKING SPELL ON BASE LLMS: RETHINKING ALIGNMENT VIA IN-CONTEXT LEARNING,2024,"12th International Conference on Learning Representations, ICLR 2024",,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200567909&partnerID=40&md5=d0a9ba767db19a0c6a2a202f388f459b,Conference paper,Final,,Scopus,2-s2.0-85200567909
Su Y.; Bian H.; Fan B.; Lian B.; Zhang C.; Zhang B.; Huang R.,"Su, Yun (57198681277); Bian, Haoran (58194406200); Fan, Bozhen (58193660600); Lian, Bingxu (58194033300); Zhang, Chengrong (58194406300); Zhang, Bingtao (57203939443); Huang, Runhe (56797171300)",57198681277; 58194406200; 58193660600; 58194033300; 58194406300; 57203939443; 56797171300,RLCA: Reinforcement Learning Model Integrating Cognition and Affection for Empathetic Response Generation,2024,IEEE Transactions on Computational Social Systems,11,1,,1158,1168,10,1,10.1109/TCSS.2023.3258741,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153369730&doi=10.1109%2fTCSS.2023.3258741&partnerID=40&md5=032a07fa75e33892a168364e0228bd8f,Article,Final,,Scopus,2-s2.0-85153369730
Tambwekar P.; Gombolay M.,"Tambwekar, Pradyumna (57205377028); Gombolay, Matthew (55806238000)",57205377028; 55806238000,Towards reconciling usability and usefulness of policy explanations for sequential decision-making systems,2024,Frontiers in Robotics and AI,11,,1375490,,,,0,10.3389/frobt.2024.1375490,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200262959&doi=10.3389%2ffrobt.2024.1375490&partnerID=40&md5=480a04f3ef8b1a037aef7c14cf0f7d01,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85200262959
Gumbsch C.; Sajid N.; Martius G.; Butz M.V.,"Gumbsch, Christian (57210202534); Sajid, Noor (57217019347); Martius, Georg (23390010300); Butz, Martin V. (7003506369)",57210202534; 57217019347; 23390010300; 7003506369,LEARNING HIERARCHICAL WORLD MODELS WITH ADAPTIVE TEMPORAL ABSTRACTIONS FROM DISCRETE LATENT DYNAMICS,2024,"12th International Conference on Learning Representations, ICLR 2024",,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200578634&partnerID=40&md5=8ae29dbaea8883ec12e1fc95f0f9816d,Conference paper,Final,,Scopus,2-s2.0-85200578634
Wabartha M.; Pineau J.,"Wabartha, Maxime (57201054284); Pineau, Joelle (13404973100)",57201054284; 13404973100,PIECEWISE LINEAR PARAMETRIZATION OF POLICIES: TOWARDS INTERPRETABLE DEEP REINFORCEMENT LEARNING,2024,"12th International Conference on Learning Representations, ICLR 2024",,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200551398&partnerID=40&md5=8ee287bb26853823647b52602c1232ed,Conference paper,Final,,Scopus,2-s2.0-85200551398
Wang X.; Li Q.; Yu D.; Li Q.; Xu G.,"Wang, Xiangmeng (57211325206); Li, Qian (57208660943); Yu, Dianer (57537892800); Li, Qing (57199178903); Xu, Guandong (57218163314)",57211325206; 57208660943; 57537892800; 57199178903; 57218163314,Reinforced Path Reasoning for Counterfactual Explainable Recommendation,2024,IEEE Transactions on Knowledge and Data Engineering,36,7,,3443,3459,16,4,10.1109/TKDE.2024.3354077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182926319&doi=10.1109%2fTKDE.2024.3354077&partnerID=40&md5=f726e2ebe3ad47e2b6afc36c0cfad60f,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85182926319
Khan N.; Coleri S.; Abdallah A.; Celik A.; Eltawil A.M.,"Khan, Nasir (57483710100); Coleri, Sinem (9133370600); Abdallah, Asmaa (56911915300); Celik, Abdulkadir (56542749700); Eltawil, Ahmed M. (55939256800)",57483710100; 9133370600; 56911915300; 56542749700; 55939256800,Explainable and Robust Artificial Intelligence for Trustworthy Resource Management in 6G Networks,2024,IEEE Communications Magazine,62,4,,50,56,6,3,10.1109/MCOM.001.2300172,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176335424&doi=10.1109%2fMCOM.001.2300172&partnerID=40&md5=29973ff8740959fee16f804eacf1dc42,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85176335424
